Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
86,진아식당 (Jinah Restaurant) (Full Course),Lee Jin-ah 이진아,3.54,155,2018
87,Obsession,EXO,3.36,614,2019
88,Introvert Love Connection,laststar 끝이별,3.66,135,2018
89,열꽃,Tablo,3.54,169,2011
90,신발장 (Shoebox),Epik High,3.39,243,2014
91,파급효과,Just Music 저스트 뮤직,3.42,196,2014
92,The War,EXO,3.35,745,2017
93,탕아,Bassagong 뱃사공,3.36,314,2018
94,버스커 버스커 1집,Busker Busker 버스커 버스커,3.38,219,2012
95,音影,"Hong Chulki, Jin Sangtae & Kevin Parks",3.38,254,2011
96,Where We Were Together,Say Sue Me,3.36,741,2018
97,Prima Donna,Nine Muses,3.39,216,2013
98,성난 도시로부터 멀리,OOHYO 우효,3.37,293,2019
99,My Voice,Taeyeon 태연,3.34,576,2017
100,4 the Youth,JUSTHIS & Paloalto,3.35,206,2018
